Pclass,Sex,Age,Fare,Embarked,Survived
3.0,male,14.0,39.6875,S,0.0
3.0,male,19.0,10.1708,S,0.0
3.0,male,18.0,7.7958,C,0.0
1.0,female,15.0,153.4625,S,1.0
1.0,male,31.0,57.0,S,1.0
3.0,female,4.0,13.4167,S,1.0
3.0,male,37.0,56.4958,S,1.0
3.0,male,25.0,7.225,S,0.0
1.0,male,60.0,26.55,C,0.0
2.0,male,52.0,13.5,S,0.0
3.0,male,44.0,8.05,C,0.0
3.0,female,19.0,7.7333,S,1.0
1.0,male,49.0,110.8833,S,0.0
3.0,male,42.0,7.65,S,0.0
1.0,female,18.0,153.4625,Q,1.0
1.0,male,35.0,26.2875,C,1.0
3.0,female,18.0,14.4542,S,0.0
3.0,male,25.0,7.7417,C,0.0
3.0,male,26.0,7.8542,S,0.0
2.0,male,39.0,26.0,C,0.0
2.0,female,45.0,13.5,Q,1.0
1.0,male,42.0,26.2875,S,1.0
1.0,female,22.0,151.55,S,1.0
3.0,male,4.0,15.2458,S,1.0
1.0,female,24.0,49.5042,S,1.0
1.0,male,41.0,26.55,S,0.0
1.0,male,48.0,52.0,C,1.0
3.0,male,29.0,9.4833,C,0.0
2.0,male,52.0,13.0,S,0.0
3.0,male,19.0,7.65,S,0.0
1.0,female,38.0,153.4625,S,1.0
2.0,female,27.0,10.5,S,1.0
3.0,male,33.0,7.775,S,0.0
2.0,female,6.0,33.0,C,1.0
3.0,male,17.0,7.0542,S,0.0
2.0,male,34.0,13.0,Q,0.0
2.0,male,50.0,13.0,S,0.0
1.0,male,27.0,53.1,S,1.0
3.0,male,20.0,8.6625,S,0.0
2.0,female,30.0,21.0,S,1.0
3.0,female,28.0,7.7375,S,1.0
2.0,male,25.0,26.0,S,0.0
3.0,female,25.0,7.925,S,0.0
1.0,female,29.0,153.4625,S,1.0
3.0,male,11.0,18.7875,Q,0.0
2.0,male,41.0,6.75,S,0.0
2.0,male,23.0,13.0,S,0.0
2.0,male,23.0,13.0,S,0.0
3.0,male,28.5,16.1,C,0.0
3.0,female,48.0,34.375,S,0.0
1.0,male,35.0,153.4625,S,1.0
3.0,male,20.0,7.8958,S,0.0
3.0,male,32.0,7.8958,S,0.0
1.0,male,45.0,30.0,S,1.0
1.0,male,36.0,78.85,C,0.0
1.0,female,21.0,153.4625,S,1.0
3.0,male,24.0,16.1,S,0.0
3.0,male,31.0,7.925,S,1.0
1.0,male,62.0,71.0,S,0.0
3.0,male,16.0,20.25,C,0.0
2.0,female,30.0,13.0,S,1.0
1.0,male,19.0,53.1,S,0.0
3.0,male,31.0,7.75,S,0.0
2.0,female,4.0,23.0,S,1.0
3.0,male,6.0,12.475,S,1.0
3.0,male,33.0,9.5,S,0.0
3.0,male,23.0,7.8958,Q,0.0
2.0,female,48.0,65.0,S,1.0
2.0,male,2.0,14.5,S,1.0
3.0,male,28.0,7.7958,S,0.0
2.0,male,18.0,11.5,S,0.0
3.0,male,34.0,8.05,S,0.0
1.0,female,33.0,86.5,S,1.0
3.0,male,23.0,14.5,S,0.0
3.0,male,41.0,7.125,S,0.0
3.0,male,20.0,7.2292,S,1.0
1.0,female,36.0,120.0,S,1.0
3.0,male,16.0,7.775,S,0.0
1.0,female,51.0,77.9583,S,1.0
1.0,male,46.0,39.6,C,0.0
3.0,female,30.5,7.75,S,0.0
3.0,male,28.0,24.15,S,0.0
3.0,male,32.0,8.3625,S,0.0
3.0,male,24.0,9.5,C,0.0
3.0,male,48.0,7.8542,Q,0.0
2.0,female,57.0,10.5,Q,0.0
3.0,male,29.0,7.225,S,0.0
2.0,female,54.0,23.0,S,1.0
3.0,male,18.0,7.75,S,0.0
3.0,male,20.0,7.75,S,0.0
3.0,female,5.0,12.475,C,1.0
3.0,male,22.0,7.7375,S,0.0
1.0,female,43.0,153.4625,S,1.0
3.0,female,13.0,7.2292,Q,1.0
1.0,female,17.0,57.0,S,1.0
1.0,male,29.0,30.0,Q,0.0
3.0,male,35.0,23.45,S,0.0
3.0,male,25.0,7.05,C,0.0
3.0,male,25.0,7.25,S,0.0
3.0,female,18.0,7.4958,S,1.0
3.0,male,8.0,29.125,S,0.0
3.0,male,2.0,20.575,S,1.0
1.0,male,46.0,79.2,S,0.0
3.0,male,20.0,7.75,S,0.0
2.0,male,16.0,26.0,Q,0.0
3.0,female,21.0,69.55,S,0.0
1.0,male,43.0,30.6958,C,0.0
3.0,male,25.0,7.8958,Q,0.0
2.0,male,39.0,13.0,S,0.0
1.0,female,49.0,25.9292,S,1.0
3.0,female,31.0,8.6833,C,1.0
3.0,male,30.0,7.2292,S,0.0
3.0,female,30.0,24.15,S,0.0
2.0,male,34.0,13.0,S,0.0
2.0,female,31.0,26.25,S,1.0
1.0,male,11.0,120.0,C,1.0
3.0,male,2.0,8.5167,S,1.0
3.0,male,27.0,6.975,S,1.0
3.0,male,31.0,7.775,S,0.0
1.0,male,39.0,6.75,S,0.0
3.0,female,18.0,7.775,C,0.0
2.0,male,39.0,13.0,S,0.0
1.0,female,33.0,53.1,S,1.0
3.0,male,26.0,7.8875,S,0.0
3.0,male,39.0,24.15,S,0.0
2.0,male,35.0,10.5,S,0.0
3.0,female,6.0,31.275,S,0.0
3.0,male,30.5,8.05,S,0.0
1.0,male,39.0,6.75,S,0.0
3.0,female,23.0,7.925,S,0.0
2.0,male,31.0,37.0042,S,0.0
3.0,male,43.0,6.75,S,0.0
3.0,male,10.0,27.9,S,0.0
1.0,female,52.0,93.5,S,1.0
3.0,male,27.0,8.6625,C,1.0
1.0,male,38.0,6.75,S,0.0
3.0,female,27.0,12.475,S,1.0
3.0,male,2.0,39.6875,S,0.0
3.0,male,36.0,6.95,S,0.0
3.0,male,23.0,56.4958,S,0.0
2.0,male,2.0,37.0042,S,1.0
3.0,male,19.0,7.75,S,1.0
1.0,female,62.0,80.0,Q,1.0
3.0,female,15.0,14.4542,S,1.0
2.0,male,2.0,18.75,C,1.0
3.0,male,30.0,7.2292,Q,0.0
3.0,male,23.0,7.8542,,0.0
3.0,male,18.0,8.3,C,0.0
1.0,female,39.0,83.1583,S,1.0
3.0,male,21.0,8.6625,C,0.0
3.0,male,20.0,8.05,S,0.0
3.0,male,32.0,56.4958,S,1.0
1.0,male,29.0,29.7,C,1.0
3.0,male,20.0,7.925,S,0.0
2.0,male,16.0,10.5,S,0.0
1.0,female,30.0,31.0,S,1.0
3.0,male,34.5,6.75,C,0.0
3.0,male,17.0,8.6625,S,0.0
3.0,male,42.0,7.55,S,0.0
3.0,male,18.0,69.55,C,0.0
3.0,male,35.0,7.8958,C,0.0
2.0,male,28.0,33.0,S,0.0
1.0,female,40.0,89.1042,S,1.0
3.0,male,4.0,31.275,S,0.0
3.0,male,62.0,7.775,C,0.0
3.0,female,9.0,15.2458,S,0.0
1.0,female,16.0,39.4,C,1.0
2.0,female,44.0,26.0,S,0.0
3.0,female,18.0,9.35,S,1.0
1.0,female,45.0,153.4625,C,1.0
1.0,male,51.0,26.55,S,1.0
3.0,female,24.0,19.2583,S,1.0
3.0,male,30.0,7.2292,S,0.0
3.0,male,41.0,14.1083,S,0.0
2.0,male,21.0,11.5,S,0.0
1.0,female,48.0,25.9292,C,1.0
3.0,female,14.0,69.55,C,0.0
2.0,male,24.0,13.0,S,0.0
2.0,female,42.0,13.0,S,1.0
2.0,female,27.0,13.8583,S,1.0
1.0,male,31.0,50.4958,S,0.0
3.0,male,23.0,9.5,S,0.0
3.0,male,4.0,11.1333,S,1.0
3.0,male,26.0,7.8958,C,0.0
1.0,female,47.0,52.5542,S,1.0
1.0,male,33.0,6.75,S,0.0
3.0,male,47.0,9.0,S,0.0
2.0,female,28.0,24.0,S,1.0
3.0,female,15.0,7.225,S,1.0
3.0,male,20.0,9.8458,S,0.0
3.0,male,19.0,7.8958,S,0.0
3.0,male,23.0,7.8958,C,0.0
1.0,female,56.0,83.1583,C,1.0
2.0,female,25.0,26.0,S,1.0
3.0,male,33.0,7.8958,S,0.0
3.0,female,22.0,10.5167,S,0.0
2.0,male,28.0,10.5,C,0.0
3.0,male,25.0,7.05,S,0.0
3.0,female,39.0,29.125,S,0.0
2.0,male,27.0,13.0,S,0.0
1.0,female,19.0,30.0,S,1.0
3.0,female,7.0,23.45,S,0.0
1.0,male,26.0,30.0,Q,1.0
3.0,male,32.0,7.75,S,0.0
